"Branch","Upstream","Track","CommitterDate","Subject"
"action-center-decision-history","origin/action-center-decision-history","","2026-04-29","feat: add action center decision-first detail view"
"action-center-decision-history-port","origin/action-center-decision-history-port","","2026-04-29","test: align decision history port fixtures"
"archive-home-insight-demo-pre-removal","","","2026-05-01","Add homepage management flow section"
"backup/action-center-route-action-cards-docs","","","2026-04-30","docs: add action center route action cards plan"
"backup/repo-audit-2026-05-15","","","2026-05-10","Refine dashboard filters and add local QA login"
"chore/site-analytics","origin/chore/site-analytics","","2026-05-05","Add GA4 and Search Console verification hooks"
"codex-temp-hero-live","origin/main","[ahead 1, behind 121]","2026-05-01","Add homepage problem section beneath hero"
"codex/action-center-adapter-readiness","","","2026-04-25","Implement full homepage redesign (De Rapporteur)"
"codex/action-center-adapter-wave","origin/codex/action-center-adapter-wave","","2026-04-25","remove exit from future action center adapters"
"codex/action-center-canon-update","origin/codex/action-center-canon-update","","2026-04-26","docs: remove action center canon trailing whitespace"
"codex/action-center-commercial-merge","origin/main","[behind 100]","2026-05-02","Merge branch 'codex/action-center-route-summary'"
"codex/action-center-commercial-roadmap","origin/codex/action-center-commercial-roadmap","[ahead 16]","2026-05-03","Refine ExitScan dashboard proof layers"
"codex/action-center-follow-up-route-trigger","origin/codex/action-center-follow-up-route-trigger","","2026-05-02","feat: add lineage summaries for follow-up routes"
"codex/action-center-governance-rights","origin/codex/action-center-governance-rights","","2026-05-02","feat: harden action center governance roles"
"codex/action-center-limited-manager-interaction","origin/codex/action-center-limited-manager-interaction","","2026-04-30","fix: harden manager response route integrity"
"codex/action-center-live-truth-pass","origin/codex/action-center-live-truth-pass","","2026-04-25","Restore MTO design-only action center truth"
"codex/action-center-live-wiring-slice","origin/codex/action-center-live-wiring-slice","","2026-04-26","Merge remote-tracking branch 'origin/main' into codex/action-center-live-wiring-slice"
"codex/action-center-manager-action-hardening","origin/codex/action-center-manager-action-hardening","","2026-05-02","feat: harden manager action semantics"
"codex/action-center-mto-audit","","","2026-04-20","Homepage: stacked hero, brede dashboard-visual, kopergerichte labels"
"codex/action-center-mto-carrier","origin/codex/action-center-mto-carrier","","2026-04-25","Fix teamscan learning route constraint"
"codex/action-center-ops-inregeling","","","2026-04-25","Document Action Center ops phase closeout"
"codex/action-center-ops-pilot","origin/codex/action-center-ops-pilot","","2026-04-25","Add action center ops pilot observation"
"codex/action-center-pilot-go-no-go-review","origin/codex/action-center-pilot-go-no-go-review","","2026-05-02","docs: add action center pilot go no-go review"
"codex/action-center-pilot-operationalisering","origin/codex/action-center-pilot-operationalisering","","2026-05-02","feat: add action center pilot operationalization layer"
"codex/action-center-pilot-readiness-hardening","origin/codex/action-center-pilot-readiness-hardening","","2026-05-02","fix: harden action center pilot readiness flows"
"codex/action-center-preview-adoption","origin/codex/action-center-preview-adoption","","2026-04-26","Adopt action center preview shell"
"codex/action-center-proposition-contract","origin/codex/action-center-proposition-contract","[ahead 4]","2026-04-28","feat: expose action center candidate and active states in hr surfaces"
"codex/action-center-reliable-ops","origin/codex/action-center-reliable-ops","","2026-05-02","feat: add action center pilot ops health"
"codex/action-center-reporting-readback","origin/main","[behind 95]","2026-05-02","feat: add action center readback summary"
"codex/action-center-review-result-loop","origin/codex/action-center-review-result-loop","","2026-04-29","feat: add authored decision admin surface"
"codex/action-center-richer-review-decisions","origin/codex/action-center-richer-review-decisions","","2026-04-29","feat: deepen action center result progression"
"codex/action-center-route-action-cards","origin/codex/action-center-route-action-cards","","2026-04-30","feat: add action cards to action center routes"
"codex/action-center-route-closeout","origin/codex/action-center-route-closeout","","2026-05-01","feat: add action center route closeout flow"
"codex/action-center-route-reopen","origin/codex/action-center-route-reopen","","2026-05-01","fix: harden action center follow-up access"
"codex/action-center-route-summary","origin/codex/action-center-route-summary","","2026-05-02","feat: add action center route summary layer"
"codex/action-center-scan-route-inbedding","origin/codex/action-center-scan-route-inbedding","","2026-05-02","feat: strengthen scan to action center handoff"
"codex/action-center-second-live-consumer","origin/codex/action-center-second-live-consumer","","2026-04-25","Fix ExitScan action center review truth"
"codex/action-center-shared-core","origin/codex/action-center-shared-core","","2026-04-25","add action center shared core contracts"
"codex/action-center-shared-core-plan","","","2026-04-20","Homepage: stacked hero, brede dashboard-visual, kopergerichte labels"
"codex/action-center-site-copy","origin/codex/action-center-site-copy","","2026-04-26","bound action center site copy"
"codex/action-center-strategy-alignment","origin/codex/action-center-strategy-alignment","","2026-04-26","Keep action center out of buyer-facing copy"
"codex/action-center-ux-volwassenheid","origin/codex/action-center-ux-volwassenheid","","2026-05-02","feat: mature action center route states"
"codex/as-landing-temp","origin/main","[behind 217]","2026-04-26","Merge branch 'codex/assisted-saas-closeout-track' into main"
"codex/assisted-saas-closeout-track","origin/codex/assisted-saas-closeout-track","","2026-04-26","close out the assisted saas program"
"codex/baseline-first-commercial-implementation","origin/main","[behind 49]","2026-05-06","Normalize baseline-first marketing routes"
"codex/billing-self-serve-model","origin/codex/billing-self-serve-model","","2026-04-27","feat: surface billing readiness in beheer and marketing"
"codex/billing-telemetry-proof-landing","origin/main","[behind 206]","2026-04-27","feat: add broader live proof and pilot layer"
"codex/broader-live-proof-and-pilot-layer","origin/codex/broader-live-proof-and-pilot-layer","","2026-04-27","feat: add broader live proof and pilot layer"
"codex/commercial-message-architecture","origin/codex/commercial-message-architecture","","2026-04-26","define action center message architecture"
"codex/commercial-operating-model","origin/codex/commercial-operating-model","","2026-04-22","Add commercial operating model decision note"
"codex/commercial-operating-model-implementation","origin/codex/commercial-operating-model-implementation","","2026-04-22","land commercial operating model guardrails"
"codex/commercial-todo-wave","origin/codex/commercial-todo-wave","","2026-04-28","fix: restrict formal report affordances"
"codex/commercial-track-closeout","origin/codex/commercial-track-closeout","","2026-04-26","close out action center commercial track"
"codex/contact-email-live-fix","","","2026-05-06","Send contact fallback notifications from Vercel"
"codex/contact-schema-fix","","","2026-05-05","Repair legacy contact request schema on startup"
"codex/contact-schema-release","","","2026-05-05","Keep contact request ids string-based on Postgres"
"codex/contact-success-label-live","","","2026-05-06","Simplify contact form success state"
"codex/copy-alignment-suite-truth","origin/codex/copy-alignment-suite-truth","","2026-04-26","align commercial copy with suite truth"
"codex/ct2-landing-temp","origin/main","[behind 231]","2026-04-26","merge CT-2 homepage and navigation repositioning"
"codex/ct3-landing-temp","origin/main","[behind 229]","2026-04-26","merge CT-3 commercial suite truth alignment"
"codex/ct4-landing-temp","origin/main","[behind 227]","2026-04-26","merge CT-4 suite demo sales flow"
"codex/ct5-landing-temp","origin/main","[behind 225]","2026-04-26","Merge branch 'codex/proof-claims-pilot-alignment' into main"
"codex/ct6-landing-temp","origin/main","[behind 223]","2026-04-26","Merge branch 'codex/commercial-track-closeout' into main"
"codex/cta-demo-salesflow-sharpening","origin/codex/cta-demo-salesflow-sharpening","","2026-04-26","sharpen suite demo sales flow"
"codex/customer-expansion-suggester","origin/codex/customer-expansion-suggester","","2026-04-21","Add interim default validation note"
"codex/customer-feedback-track-foundation","","","2026-04-18","docs: close out customer feedback internal track"
"codex/customer-launch-control","origin/codex/customer-launch-control","","2026-04-23","Fix guided self-serve acceptance backend port"
"codex/customer-operation-validation","origin/codex/customer-operation-validation","","2026-04-25","docs: harden customer owner activation guidance"
"codex/customer-ops-hardening-pass","origin/codex/customer-ops-hardening-pass","","2026-04-25","fix: harden customer owner activation and no-access campaign flow"
"codex/customer-ops-observation-round","origin/codex/customer-ops-observation-round","","2026-04-25","docs: close out customer ops observation round"
"codex/dashboard-admin-alignment","origin/codex/dashboard-admin-alignment","","2026-04-24","Tighten dashboard color semantics"
"codex/dashboard-admin-setup-page","origin/codex/dashboard-admin-setup-page","","2026-05-04","feat: rebuild admin setup beheer page"
"codex/dashboard-guided-execution-main-landing-final","origin/main","[behind 296]","2026-04-24","promote dashboard guided execution slice to main"
"codex/dashboard-guided-execution-main-promotion","origin/codex/dashboard-guided-execution-main-promotion","[ahead 1, behind 5]","2026-04-24","promote dashboard guided execution slice to main"
"codex/dashboard-guided-execution-main-promotion-review","","","2026-04-24","promote dashboard guided execution slice to main"
"codex/dashboard-loep-branding","origin/main","[ahead 1, behind 10]","2026-05-13","Rebrand visible dashboard UI to Loep"
"codex/dashboard-loep-branding-release","origin/main","[behind 9]","2026-05-13","Rebrand visible dashboard UI to Loep"
"codex/dashboard-module-visual-mapping","origin/codex/dashboard-module-visual-mapping","","2026-04-23","Refine dashboard module visual hierarchy"
"codex/dashboard-overview-and-navigation-correction-pass","origin/codex/dashboard-overview-and-navigation-correction-pass","","2026-04-24","dashboard overview and navigation correction pass"
"codex/dashboard-overview-and-navigation-review","origin/codex/dashboard-overview-and-navigation-correction-pass","","2026-04-24","dashboard overview and navigation correction pass"
"codex/dashboard-preview-adoption","origin/codex/dashboard-preview-adoption","","2026-04-26","feat: adopt dashboard preview"
"codex/dashboard-product-pure-analytics","origin/codex/dashboard-product-pure-analytics","","2026-05-04","feat: rebuild product dashboard as pure analytics"
"codex/dashboard-redesign-management-flow","origin/codex/dashboard-redesign-management-flow","","2026-04-20","Polish dashboard campaign launcher language"
"codex/dashboard-shell-and-presentation-system","origin/codex/dashboard-shell-and-presentation-system","","2026-04-23","Refine dashboard shell presentation system"
"codex/dashboard-state-aware-composition-pass","origin/codex/dashboard-state-aware-composition-pass","","2026-04-23","Compose dashboard states by execution readiness"
"codex/dashboard-suite-landing-decision","origin/codex/dashboard-suite-landing-decision","","2026-04-24","Document suite landing decision for execution and dashboard UI"
"codex/dashboard-ui-review","origin/codex/dashboard-ui-review","","2026-04-24","Tighten dashboard review language"
